Site_name,City,State,Week_positive
NA,Jackson,MI,5/16/24
Dallas Central,Dallas,TX,5/17/24
Lander St,Boise,ID,5/17/24
White Rock Central,Dallas,TX,5/17/24
NA,Jackson,MI,5/19/24
Southside,Dallas,TX,5/19/24
NA,Traverse City,MI,5/19/24
Dallas Central,Dallas,TX,5/20/24
NA,Mt Pleasant,MI,5/20/24
White Rock Central,Dallas,TX,5/20/24
NA,Jackson,MI,5/21/24
NA,Warren,MI,5/21/24
NA,Ann Arbor,MI,5/22/24
Dallas Central,Dallas,TX,5/22/24
NA,Jenison,MI,5/22/24
NA,Red Wing,MN,5/22/24
NA,St Cloud,MN,5/22/24
White Rock Central,Dallas,TX,5/22/24
NA,Jackson,MI,5/23/24
NA,Traverse City,MI,5/23/24
Dallas Central,Dallas,TX,5/24/24
Lander St,Boise,ID,5/24/24
NA,Mankato,MN,5/24/24
NA,Jackson,MI,5/28/24
NA,Marshallrtown,IA,5/28/24
NA,Jenison,MI,5/29/24
Dallas Central,Dallas,TX,5/29/24
NA,Warren,MI,5/29/24
White Rock Central,Dallas,TX,5/29/24
NA,Jackson,MI,5/30/24
Dallas Central,Dallas,TX,5/31/24
Lander St,Boise,ID,5/31/24
White Rock Central,Dallas,TX,5/31/24
NA,Jackson,MI,6/2/24
NA,Traverse City,MI,6/3/24
NA,Warren,MI,6/3/24
NA,Jackson,MI,6/4/24
White Rock Central,Dallas,TX,6/5/24
NA,Jackson,MI,6/6/24
NA,Warren,MI,6/6/24
NA,Ann Arbor,MI,6/7/24
NA,Jackson,MI,6/9/24
NA,Ann Arbor,MI,6/10/24
NA,West Contra Costa County,CA,6/10/24
NA,Warren,MI,6/11/24
NA,Jenison,MI,6/13/24
Lander St,Boise,ID,6/13/24
NA,Warren,MI,6/17/24
NA,Southeast San Francisco,CA,6/18/24
NA,Yankton,SD,6/18/24
NA,Palo Alto,CA,6/19/24
NA,Jenison,MI,6/19/24
Lander St,Boise,ID,6/19/24
NA,Yankton,SD,6/20/24
NA,Yankton,SD,6/23/24
NA,Gainesville,TX,6/24/24
NA,Southeast San Francisco,CA,6/26/24
Lander St,Boise,ID,6/26/24
NA,Yankton,SD,6/27/24
NA,Mt Pleasant,MI,6/28/24
NA,Rochester,MN,6/28/24
NA,Jenison,MI,7/3/24
White Rock Central,Dallas,TX,7/3/24
South,Parker,CO,7/8/24
